ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,330,Indigenous Education,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,340,American Indians in Film,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,360,Indigenous Peoples and Environmental Struggles,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,380,The Sacred Landscape,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,455,Museum Science and Representation,3,,,Gold,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,460,Behaving Like Relatives,3,,Permission of AIS faculty member.,Gold,Permission of AIS faculty member.
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,AIS,475,Selected Topics:,3,,,,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,ANTH,410,Archaeology of Minnesota,4,,,,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,ANTH,411,Archaeology of Native North America,4,,,,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,ANTH,440,Native American Cultures of North America,4,,,,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Expanded Courses ,Choose  9 Credit(s).,ENG,436W,Native American Literature,4,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,101,Introduction to American Indigenous Studies,3,,,,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,210W,Oral Traditions,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,211,Native America to 1900,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,212,Native America 1900 to Present,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,220W,Introduction to Tribal Sovereignty,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,230W,American Indians of Minnesota,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,240W,American Indian Women,3,,,Purple,
American Indigenous Studies,CERT,American Indigenous Studies - CERT,8478,15,Undergraduate,2024-2025,Major Restricted Electives,,,Foundation Courses ,Choose  6 Credit(s).,AIS,275,Selected Topics:,3,,,,
