ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,201,Observation of Human Communication,3,Advanced standing in the program,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,220,Basic Audiology,3,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333, EE 390. Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395",,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,290,Introduction to Communication Disorders,3,EE 467 and Senior Standing,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,312,Speech and Language Development,3,EE 231. EE 341,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,322,Speech and Hearing Science,3,"MATH 122 with “C” (2.0) or better, or consent",,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,346,Cultural Humility in Communication Sciences and Disorders,3,MATH 121 with “C” (2.0) or better or consent.,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,350W,Interprofessional Practice and Research,3,PHYS 221 with “C-” (1.67) or better ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,392,Phonetics,3,MATH 121 with a “C” or better; and PHYS 221 with a “C” or better,MATH 122,,MATH 122
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,394,Applied Anatomy and Physiology,3,EE 107 or CIS 121 or an approved substitute.,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,410,Neurological Bases of Speech,2,EE 332 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,421,Aural Rehabilitation,3,"EE 341, MATH 223",,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,445,Grand Rounds-Foundation,1,EE 353 and EE 363 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Common Core,,,,,CDIS,446,Grand Rounds-Presentation,2,,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,320,Beginning and Intermediate Audiometrics,2,EE 358 and EE 368 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,401,Hearing Disorders,3,EE 341 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,404,"Deaf Studies: Deaf Culture, History and Social Justice",3,EE 231 or via permission from instructor,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,408,Seminar in Central Auditory Processing Disorders,3,EE 333,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,420,Advanced Audiometrics,2,EE 303 and EE 332,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Audiology Option ,Choose12 - 17 Credit(s).,CDIS,422,Hearing Across the Lifespan,2,EE 350 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Clinical Practicum Choose CDIS 495 for the Speech-Language Pathology Option. Choose CDIS 320 or CDIS 420 for the Audiology Option. ,Choose  2 Credit(s).,CDIS,320,Beginning and Intermediate Audiometrics,2,EE 303 ,,,
Communication Sciences and Disorders,BS,Communication Sciences and Disorders - BS,27,120,Undergraduate,2024-2025,Major Restricted Electives,,,Clinical Practicum Choose CDIS 495 for the Speech-Language Pathology Option. Choose CDIS 320 or CDIS 420 for the Audiology Option. ,Choose  2 Credit(s).,CDIS,420,Advanced Audiometrics,2,Concurrent with EE 475,,,
