ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,128,DANC 128,Contemporary Dance I,2,Consent,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,226,DANC 226,Ballet II,2,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,228,DANC 228,Contemporary Dance II,2,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,320,DANC 320,Dance Somatics,2,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,321,DANC 321,Dance Composition I,2,"DANC 228, DANC 322. Consent",,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,322,DANC 322,Dance Improvisation,2,Consent,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,421,DANC 421,Dance Composition II,2, DANC 321 ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,427,DANC 427,Topics in Dance,3,Consent,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,429,DANC 429,Senior Dance Project,1,DANC 484W,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,DANC,484,DANC 484,Dance History,3," DANC 120, DANC 225, DANC 226, DANC 228, DANC 321 ",,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,THEA,262,THEA 262,Dance Production: Costumes,1,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,THEA,272,THEA 272,Dance Production: Lighting,1,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,,,,THEA,276,THEA 276,Dance Production: Sound,1,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Common Core,,, take 3 times,Choose  3 Credit(s).,DANC,428,DANC 428,Dance Repertory,1,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,102,THEA 102,Theatre Activity: Acting,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,103,THEA 103,Theatre Activity: Management,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,104,THEA 104,Theatre Activity: Dance Captain,1-2, Consent,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,105,THEA 105,Theatre Activity: Stagecraft,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,107,THEA 107,Theatre Activity: Costume,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,108,THEA 108,Theatre Activity: Lighting,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Major Restricted Electives,,, choose 2 areas,Choose  3 Credit(s).,THEA,109,THEA 109,Theatre Activity: Sound,1-2, Consent ,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Required General Education,,,,,DANC,120W,DANC 120W,Introduction to Dance,3,Consent,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Required General Education,,,,,DANC,225,DANC 225,Worlds of Dance,3,DANC 120 or DANC120W,,Purple
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Required General Education,,,,,THEA,101,THEA 101,Acting for Everyone,3,,,
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,ART,160,ART 160,Introduction to Visual Culture,3,,,Purple
Dance,BA,Dance - BA,6751,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,ART,261,ART 261,Art History Survey II,3,,,
