ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Common Core,,,,,EDLD,641,Critical Race Theory in Education,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Common Core,,,,,EDLD,646,Leadership and Instruction for Race and Culture,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Common Core,,,,,EDLD,647,Organizational & Systems Change,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Common Core,,,,,EDLD,651,Ethics in Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Common Core,,,,,EDLD,652,Responsive Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  9 Credit(s).,EDLD,642,Program Evaluation in Educational Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  9 Credit(s).,EDLD,644,Seminar:  Selected Topics,1-3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  9 Credit(s).,EDLD,650,Colloquium in Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  9 Credit(s).,EDLD,653,Women in Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Unrestricted Electives,,, ,Choose  9 Credit(s).,EDLD,690,Workshop,1-4,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Research/Methods Course(s),,,,,EDLD,662,Research in Educational Leadership,3,,,,
Educational Leadership,MS,Educational Leadership - MS,4468,30,Graduate,2024-2025,Capstone Course,,,,,EDLD,695,Portfolio Development,3,,,,
