ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,373,Introduction to Geography Information Systems,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,473,Intermediate GIS,4,GEOG 373 ,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,474,Introduction to Remote Sensing,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,439,Transportation Modeling & GIS,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,471,Digital Field Mapping with GPS,4,GEOG 373 or equivalent ,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,475,Open-Source GIS,4,"GEOG 373, GEOG 474",,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,476,Spatial Statistics,3,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,478,Spatial Analysis with GIS,3,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,479,GIS Practicum,1-4,"Prerequisite: GEOG 373, or 473/573, or permission of instructor.",,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,481,GIS and Environmental Hazards,3,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,482,GIS for Natural Resources,4,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,483,Cloud Mapping & Visualization,4,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,484,Web GIS,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,485,GIS Programming,4,,,,
