ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,573,Intermediate GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,574,Introduction to Remote Sensing,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,670,Seminar in GIS,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,539,Transportation Modeling & GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,571,Digital Field Mapping with GPS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,575,Open-Source GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,576,Spatial Statistics,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,578,Spatial Analysis with GIS,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,579,GIS Practicum,1-4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,581,GIS and Environmental Hazards,3,GEOG 373 and GEOG 673,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,582,GIS for Natural Resources,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,583,Cloud Mapping & Visualization,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,584,Web GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,585,GIS Programming,4,,,,
