ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,550,CIS 550,Information Warfare,4,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,601,CIS 601,Research Topics,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,650,CIS 650,Researching and Analyzing Information Security Risks,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,653,CIS 653,Reporting Information Security Risks,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,655,CIS 655,Information Risk Management,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,,,CIS,662,CIS 662,Data Communications and Networking,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Common Core,,,Capstone Component ,Choose  4 Credit(s).,CIS,697,CIS 697,Internship,1-12,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Restricted Electives,,,,,ENG,675,ENG 675,Technical Communication for STEM Professionals ,3,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Restricted Electives,,,,,MBA,610,MBA 610,Writing in the Workplace,2,,,
Information Security & Risk Management,PSM,Information Security & Risk Management - PSM,201116678,30,,Graduate,2024-2025,Restricted Electives,,,,,MBA,681,MBA 681,Global Business Strategy,2,,,
