ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,517,Program Administration,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,566,Program Planning and Evaluation,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,600,Proseminar,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,603,Seminar: Social Psychology,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,604,Seminar: Social Statistics,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,606,Seminar in Sociological Theory,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Common Core,,,,,SOC,608,Seminar in Social Inequality,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Research/Methods Course(s),,,,,SOC,605,Seminar: Social Research,3,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Capstone Course,,,,,SOC,694,Alternate Plan Paper,1-2,,,,
Sociology Human Service Planning & Administration,MS,Sociology Human Service Planning & Administration - MS,3339,34,Graduate,2024-2025,Capstone Course,,,,,SOC,699,Thesis,1-3,,,,
