ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Communication Option ,Choose  1 Credit(s).,COMM,694,COMM 694,Alternate Plan Paper,1-3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Communication Option ,Choose  1 Credit(s).,COMM,697,COMM 697,Internship,1-6,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Education Options ,Choose  1 Credit(s).,KSP,694,KSP 694,Alternate Plan Paper,1-2,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Education Options ,Choose  1 Credit(s).,KSP,695,KSP 695,Creative Projects,1-2,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Education Options ,Choose  1 Credit(s).,KSP,699,KSP 699,Thesis,1-6,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,English Option ,Choose  1 Credit(s).,ENG,694,ENG 694,Alternate Plan Paper,1-2,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,English Option ,Choose  1 Credit(s).,ENG,698,ENG 698,Internship,1-6,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Family Consumer Science Option ,Choose  1 Credit(s).,FCS,694,FCS 694,Alternate Plan Paper,1-2,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,History Option ,Choose  2 Credit(s).,HIST,694,HIST 694,Alternate Plan Paper,1-2,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Capstone Course,,,Psychology Option ,Choose  1 Credit(s).,PSYC,680,PSYC 680,Portfolio,1-4,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Common Core,,,,,KSP,601,KSP 601,Culturally Responsive Teaching,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Common Core,,,,,KSP,610,KSP 610,Scholarly Writing,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Common Core,,,,,KSP,619,KSP 619,Using Technology in learning environments,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Common Core,,,,,KSP,640,KSP 640,Supporting Learning through Assessments,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Common Core,,,,,KSP,665,KSP 665,Teacher Leader Scholar,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Research/Methods Course(s),,,,,KSP,609,KSP 609,Research Methods,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Restricted Electives,,,Education Specialization A total of 31 credits is required for the degree with the Education Specialization. ,Choose  12 Credit(s).,KSP,612,KSP 612,Student Centered Learning,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Restricted Electives,,,Education Specialization A total of 31 credits is required for the degree with the Education Specialization. ,Choose  12 Credit(s).,KSP,624,KSP 624,"Accessibility, Technology, and Learning",3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Restricted Electives,,,Education Specialization A total of 31 credits is required for the degree with the Education Specialization. ,Choose  12 Credit(s).,KSP,644,KSP 644,Accessing Diverse Partnerships to support students,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Restricted Electives,,,Education Specialization A total of 31 credits is required for the degree with the Education Specialization. ,Choose  12 Credit(s).,KSP,663,KSP 663,Designing Curriculum to Support Student Learning,3,,,
Teaching and Learning,MS,Teaching and Learning - MS,3678,31,,Graduate,2024-2025,Restricted Electives,,,Education Specialization A total of 31 credits is required for the degree with the Education Specialization. ,Choose  12 Credit(s).,KSP,689,KSP 689,Supporting Learning through technology,3,,,
